"","state_abbr","date","traf"
"252","LA",2020-05-23,-12.809351776611
"253","IN",2020-05-23,-17.645649043883
"254","IL",2020-05-23,-27.0482430212816
"255","CT",2020-05-23,-39.1655175501218
"256","FL",2020-05-23,-14.8126638918082
"257","AZ",2020-05-23,-10.8533754863669
"258","CO",2020-05-23,-11.8445952733977
"259","CO",2020-05-22,-10.8819375247661
"260","AZ",2020-05-22,-7.59286411394083
"261","FL",2020-05-22,-13.5103597265343
"262","IL",2020-05-22,-22.6730785038
"263","IN",2020-05-22,-14.1220123724414
"264","LA",2020-05-22,5.09547569069453
"265","MA",2020-05-22,-28.4422041732819
"266","MI",2020-05-22,-23.9983906353424
"267","MT",2020-05-22,-9.23883146242332
"268","MO",2020-05-22,-28.5748142888082
"269","NC",2020-05-22,-19.928579687973
"270","NM",2020-05-22,-11.40130120579
"271","NH",2020-05-22,-13.5273841019669
"272","OH",2020-05-22,-23.4752574340985
"273","TN",2020-05-22,-12.1820153630008
"274","RI",2020-05-22,-22.1311734443947
"275","US",2020-05-22,-18.4029975778177
"276","VA",2020-05-22,-34.7173859918848
"277","VT",2020-05-22,-13.3648464738334
"278","VT",2020-05-21,-16.9760787988575
"279","VA",2020-05-21,-34.2492265955062
"280","US",2020-05-21,-19.6165833599138
"281","RI",2020-05-21,-25.559136532515
"282","TN",2020-05-21,-5.95923008703023
"283","OH",2020-05-21,-22.6331273484809
"284","NH",2020-05-21,-14.8965151457346
"285","NM",2020-05-21,-13.2350896485715
"286","NC",2020-05-21,-26.8090024602253
"287","MT",2020-05-21,-13.0097602392619
"288","MI",2020-05-21,-20.0034950327184
"289","MO",2020-05-21,-27.4455293179031
"290","MA",2020-05-21,-30.8472460052737
"291","LA",2020-05-21,-6.32664554001622
"292","IN",2020-05-21,-16.147704000646
"293","IL",2020-05-21,-21.4548513283247
"294","FL",2020-05-21,-14.9059551646948
"295","CT",2020-05-21,-28.8866551874275
"296","AZ",2020-05-21,-10.9149015950094
"297","CO",2020-05-21,-13.3472762143114
"298","CO",2020-05-20,-15.4431570091541
"299","AZ",2020-05-20,-12.1127408023471
"300","CT",2020-05-20,-32.553079320515
"301","FL",2020-05-20,-15.7649269945979
"302","IL",2020-05-20,-23.3380278484439
"303","IN",2020-05-20,-18.9471824379242
"304","LA",2020-05-20,-5.90717183082026
"305","MA",2020-05-20,-33.493358500341
"306","MO",2020-05-20,-31.2705329366482
"307","MI",2020-05-20,-22.8415133642709
"308","MT",2020-05-20,-12.7626823490858
"309","NC",2020-05-20,-29.3161062773795
"310","NM",2020-05-20,-14.3676166362325
"311","NH",2020-05-20,-19.7230287164017
"312","OH",2020-05-20,-24.2278939987384
"313","RI",2020-05-20,-23.4751394270471
"314","TN",2020-05-20,-9.34789915735578
"315","US",2020-05-20,-21.5245557072244
"316","VA",2020-05-20,-34.7788053186431
"317","VT",2020-05-20,-16.1528918277979
"318","VT",2020-05-19,-17.1775602443166
"319","VA",2020-05-19,-35.6964241142874
"320","US",2020-05-19,-23.5651528444268
"321","TN",2020-05-19,-11.7631670093256
"322","RI",2020-05-19,-26.5206972641115
"323","OH",2020-05-19,-27.2191874912986
"324","NH",2020-05-19,-23.3286312348869
"325","NM",2020-05-19,-16.8914618240182
"326","NC",2020-05-19,-29.107238140698
"327","MT",2020-05-19,-13.6763158634674
"328","MI",2020-05-19,-30.3764881121006
"329","MO",2020-05-19,-31.052784060135
"330","MA",2020-05-19,-34.9740218348141
"331","LA",2020-05-19,-9.8953014716834
"332","IN",2020-05-19,-20.810477216926
"333","IL",2020-05-19,-26.2613853532711
"334","FL",2020-05-19,-16.3610223680039
"335","CT",2020-05-19,-35.2709740194663
"336","AZ",2020-05-19,-14.80971047834
"337","CO",2020-05-19,-15.6505523532799
"338","CO",2020-05-18,-15.6753204816704
"339","AZ",2020-05-18,-13.9866593462894
"340","CT",2020-05-18,-35.9462653204571
"341","FL",2020-05-18,-18.2289079110283
"342","IL",2020-05-18,-27.1074615560851
"343","IN",2020-05-18,-21.039707063848
"344","LA",2020-05-18,-14.4571277319674
"345","MA",2020-05-18,-37.539468241772
"346","MO",2020-05-18,-31.4671815884416
"347","MI",2020-05-18,-34.6085135264268
"348","MT",2020-05-18,-12.5470509011675
"349","NC",2020-05-18,-24.8110861661261
"350","NM",2020-05-18,-15.6405450389355
"351","NH",2020-05-18,-25.3673697478572
"352","OH",2020-05-18,-28.3002159997875
"353","RI",2020-05-18,-30.189538939718
"354","TN",2020-05-18,-12.2424150131939
"355","US",2020-05-18,-24.6320394394632
"356","VA",2020-05-18,-39.7631258912595
"357","VT",2020-05-18,-24.3387117411447
"358","VT",2020-05-17,-30.9535736516036
"359","VA",2020-05-17,-30.8074440114815
"360","US",2020-05-17,-27.511998871395
"361","TN",2020-05-17,-15.3637359325464
"362","RI",2020-05-17,-25.4562266494107
"363","OH",2020-05-17,-32.1599645255924
"364","NH",2020-05-17,-28.2011604603143
"365","NM",2020-05-17,-22.0935657897197
"366","NC",2020-05-17,-24.8598085971967
"367","MT",2020-05-17,-10.6777292835949
"368","MI",2020-05-17,-42.1555257686319
"369","MO",2020-05-17,-25.4451521924904
"370","MA",2020-05-17,-41.169958855369
"371","LA",2020-05-17,-19.054005805368
"372","IN",2020-05-17,-33.6173256669715
"373","IL",2020-05-17,-40.9147222235756
"374","FL",2020-05-17,-17.2193021260733
"375","AZ",2020-05-17,-15.4864334774301
"376","CO",2020-05-17,-21.6944642530151
"377","CT",2020-05-17,-39.9984436784401
"378","CT",2020-05-16,-36.4256763009676
"379","CO",2020-05-16,-22.7750864032619
"380","AZ",2020-05-16,-17.048775678816
"381","FL",2020-05-16,-18.2543401500514
"382","IL",2020-05-16,-29.534685703268
"383","IN",2020-05-16,-24.5274983481572
"384","LA",2020-05-16,-18.4068494913662
"385","MA",2020-05-16,-35.9590555776315
"386","MI",2020-05-16,-31.3291350448698
"387","MO",2020-05-16,-20.6441398409265
"388","MT",2020-05-16,-10.1529767820956
"389","NC",2020-05-16,-19.9100653223195
"390","NM",2020-05-16,-22.0006162697128
"391","OH",2020-05-16,-27.7351503292632
"392","NH",2020-05-16,-26.4795408423516
"393","RI",2020-05-16,-21.1784138385776
"394","TN",2020-05-16,-3.97516632141801
"395","US",2020-05-16,-23.1175415248139
"396","VA",2020-05-16,-28.7818782198473
"397","VT",2020-05-16,-29.6406296501307
"398","VT",2020-05-15,-35.4864301790035
"399","VA",2020-05-15,-30.1148485078893
"400","US",2020-05-15,-26.5265856836162
"401","TN",2020-05-15,-10.8594064304614
"402","RI",2020-05-15,-29.5690697748357
"403","NH",2020-05-15,-31.6202795699272
"404","OH",2020-05-15,-31.5798638045706
"405","NM",2020-05-15,-22.5911211090424
"406","NC",2020-05-15,-25.6981929466503
"407","MT",2020-05-15,-19.3777744096766
"408","MO",2020-05-15,-30.162966377329
"409","MI",2020-05-15,-36.7395395686826
"410","MA",2020-05-15,-39.7601166548375
"411","LA",2020-05-15,-21.1353486257343
"412","IN",2020-05-15,-26.8338603827281
"413","IL",2020-05-15,-28.1309824906524
"414","FL",2020-05-15,-20.7354455254171
"415","AZ",2020-05-15,-17.2820363645958
"416","CO",2020-05-15,-25.3504707011146
"417","CT",2020-05-15,-37.4215159176173
"418","CT",2020-05-14,-35.7747693897396
"419","CO",2020-05-14,-23.4740927830039
"420","AZ",2020-05-14,-17.1920113257349
"421","FL",2020-05-14,-18.825439477979
"422","IL",2020-05-14,-30.1858271955083
"423","IN",2020-05-14,-23.5041070247115
"424","LA",2020-05-14,-23.0231949500249
"425","MA",2020-05-14,-37.1920864112966
"426","MI",2020-05-14,-38.0448924207893
"427","MO",2020-05-14,-31.9704557033947
"428","MT",2020-05-14,-16.5390741014521
"429","NC",2020-05-14,-25.8580957334075
"430","NM",2020-05-14,-22.0948112391661
"431","OH",2020-05-14,-29.7754515325948
"432","NH",2020-05-14,-24.422611566318
"433","RI",2020-05-14,-29.104852450254
"434","US",2020-05-14,-27.180164541754
"435","VA",2020-05-14,-34.5697730292922
"436","VT",2020-05-14,-27.3919112511812
"437","VT",2020-05-13,-27.9770365188163
"438","VA",2020-05-13,-35.3305544611194
"439","US",2020-05-13,-24.9077501994738
"440","RI",2020-05-13,-30.0330705079867
"441","TN",2020-05-13,-14.3534136034683
"442","NH",2020-05-13,-26.7367705827547
"443","OH",2020-05-13,-26.0292386827197
"444","NM",2020-05-13,-21.201204305299
"445","NC",2020-05-13,-26.3390104665737
"446","MT",2020-05-13,-20.3642797377152
"447","MO",2020-05-13,-37.4443351669872
"448","MI",2020-05-13,-31.1136668539808
"449","MA",2020-05-13,-39.0610266768032
"450","LA",2020-05-13,-12.4228175210393
"451","IN",2020-05-13,-21.9453768563905
"452","IL",2020-05-13,-27.5594397573425
"453","FL",2020-05-13,-17.8858252195311
"454","AZ",2020-05-13,-16.7396967507908
"455","CO",2020-05-13,-20.9173888689264
"456","CT",2020-05-13,-28.9001122982957
"457","CT",2020-05-12,-27.4279777431969
"458","AZ",2020-05-12,-18.5919858148756
"459","CO",2020-05-12,-22.7743817418798
"460","FL",2020-05-12,-17.7245741163703
"461","IL",2020-05-12,-25.956019115244
"462","IN",2020-05-12,-21.1652342809693
"463","LA",2020-05-12,-11.5348398425772
"464","MA",2020-05-12,-39.6716627999573
"465","MI",2020-05-12,-35.4345697156718
"466","MO",2020-05-12,-35.7593367776027
"467","MT",2020-05-12,-23.2575171550378
"468","NC",2020-05-12,-25.4805590603099
"469","NM",2020-05-12,-21.5199157454502
"470","OH",2020-05-12,-27.7292879564513
"471","NH",2020-05-12,-28.5851135655157
"472","TN",2020-05-12,-14.1381108501085
"473","RI",2020-05-12,-30.7681292257687
"474","US",2020-05-12,-24.2930548167784
"475","TX",2020-05-12,-20.5966640799277
"476","VA",2020-05-12,-33.0564855713155
"477","VT",2020-05-12,-29.1140870669224
"478","VT",2020-05-11,-36.9132836826426
"479","VA",2020-05-11,-35.5402979157553
"480","US",2020-05-11,-24.8576300494793
"481","TX",2020-05-11,-15.9517887745422
"482","RI",2020-05-11,-35.7137004586592
"483","TN",2020-05-11,-10.8546806437473
"484","NH",2020-05-11,-34.4180504464532
"485","NM",2020-05-11,-26.0394698896524
"486","OH",2020-05-11,-31.7610042850015
"487","NC",2020-05-11,-23.4955129236646
"488","MT",2020-05-11,-18.6840599386557
"489","MO",2020-05-11,-32.3915517861762
"490","MI",2020-05-11,-36.0037809074516
"491","MA",2020-05-11,-43.4793862338834
"492","LA",2020-05-11,-13.8110026079598
"493","IN",2020-05-11,-23.0100249557704
"494","IL",2020-05-11,-29.8428987480534
"495","FL",2020-05-11,-18.97077696908
"496","CO",2020-05-11,-27.323604919952
"497","AZ",2020-05-11,-18.3014747953244
"498","CT",2020-05-11,-41.9754852023522
"499","CT",2020-05-10,-39.8145139569474
"500","AZ",2020-05-10,-20.6761774878753
"501","CO",2020-05-10,-27.5730709477584
"502","FL",2020-05-10,-26.1352585772868
"503","IL",2020-05-10,-34.9578076257535
"504","IN",2020-05-10,-30.7394968174071
"505","MA",2020-05-10,-41.3952180281215
"506","MI",2020-05-10,-43.433722518565
"507","MO",2020-05-10,-6.67034787755622
"508","MT",2020-05-10,-17.569895574181
"509","NC",2020-05-10,-26.9543105957108
